(001,765.35)
(002,765.35)
(003,765.35)
(004,765.35)
(005,765.35)
(006,765.35)
(007,765.35)
(008,765.35)
(009,765.35)
(010,765.35)
(011,765.35)
(012,765.35)
(013,765.35)
(014,765.35)
(015,765.35)
(016,765.35)
(017,765.35)
(018,793.70)
(019,793.70)
(020,765.35)
(021,765.35)
(022,765.35)
(023,765.35)
(024,765.35)
(025,765.35)
(026,765.35)
(027,765.35)
(028,765.35)
(029,765.35)
(030,765.35)
(031,765.35)
(032,765.35)
(033,765.35)
(034,737.01)
(035,737.01)
(036,765.35)
(037,765.35)
(038,765.35)
(039,765.35)
(040,765.35)
(041,765.35)
(042,765.35)
(043,765.35)
(044,765.35)
(045,765.35)
(046,765.35)
(047,765.35)
(048,765.35)
(049,765.35)
(050,765.35)
(051,765.35)
(052,765.35)
(053,765.35)
(054,765.35)
(055,765.35)
(056,765.35)
(057,765.35)
(058,765.35)
(059,765.35)
(060,765.35)
(061,765.35)
(062,765.35)
(063,765.35)
(064,765.35)
(065,765.35)
(066,765.35)
(067,765.35)
(068,765.35)
(069,765.35)
(070,765.35)
(071,765.35)
(072,765.35)
(073,793.70)
(074,765.35)
(075,765.35)
(076,765.35)
(077,765.35)
(078,765.35)
(079,765.35)
(080,765.35)
(081,765.35)
(082,765.35)
(083,765.35)
(084,765.35)
(085,765.35)
(086,765.35)
(087,765.35)
(088,765.35)
(089,765.35)
(090,765.35)
(091,765.35)
(092,765.35)
(093,765.35)
(094,765.35)
(095,765.35)
(096,793.70)
(097,793.70)
(098,765.35)
(099,765.35)
(100,765.35)
(101,765.35)
(102,765.35)
(103,765.35)
(104,765.35)
(105,765.35)
(106,765.35)
(107,765.35)
(108,765.35)
(109,765.35)
(110,765.35)
(111,765.35)
(112,765.35)
(113,765.35)
(114,765.35)
(115,765.35)
(116,765.35)
(117,765.35)
(118,765.35)
(119,737.01)
(120,737.01)
(121,737.01)
(122,737.01)
(123,737.01)
(124,765.35)
(125,765.35)
(126,765.35)
(127,765.35)
(128,765.35)
(129,765.35)
(130,765.35)
(131,765.35)
(132,765.35)
(133,765.35)
(134,765.35)
(135,765.35)
(136,765.35)
(137,765.35)
(138,793.70)
(139,793.70)
(140,765.35)
(141,765.35)
(142,765.35)
(143,765.35)
(144,765.35)
(145,765.35)
(146,765.35)
(147,765.35)
(148,765.35)
(149,765.35)
(150,765.35)
