(001,765.35)
(002,765.35)
(003,765.35)
(004,737.01)
(005,737.01)
(006,737.01)
(007,765.35)
(008,765.35)
(009,765.35)
(010,793.70)
(011,793.70)
(012,793.70)
(013,765.35)
(014,765.35)
(015,793.70)
(016,793.70)
(017,765.35)
(018,765.35)
(019,765.35)
(020,765.35)
(021,765.35)
(022,765.35)
(023,793.70)
(024,793.70)
(025,793.70)
(026,765.35)
(027,765.35)
(028,765.35)
(029,793.70)
(030,793.70)
(031,793.70)
(032,793.70)
(033,793.70)
(034,793.70)
(035,793.70)
(036,793.70)
(037,793.70)
(038,793.70)
(039,765.35)
(040,765.35)
(041,765.35)
(042,765.35)
(043,765.35)
(044,765.35)
(045,765.35)
(046,765.35)
(047,765.35)
(048,765.35)
(049,765.35)
(050,765.35)
(051,765.35)
(052,765.35)
(053,765.35)
(054,765.35)
(055,765.35)
(056,765.35)
(057,765.35)
(058,765.35)
(059,765.35)
(060,765.35)
(061,765.35)
(062,765.35)
(063,765.35)
(064,765.35)
(065,765.35)
(066,765.35)
(067,765.35)
(068,765.35)
(069,765.35)
(070,765.35)
(071,765.35)
(072,765.35)
(073,765.35)
(074,765.35)
(075,765.35)
(076,765.35)
(077,765.35)
(078,765.35)
(079,793.70)
(080,765.35)
(081,765.35)
(082,765.35)
(083,765.35)
(084,765.35)
(085,765.35)
(086,765.35)
(087,737.01)
(088,765.35)
(089,765.35)
(090,765.35)
(091,765.35)
(092,765.35)
(093,765.35)
(094,765.35)
(095,765.35)
(096,765.35)
(097,793.70)
(098,793.70)
(099,793.70)
(100,793.70)
(101,765.35)
(102,765.35)
(103,765.35)
(104,765.35)
(105,765.35)
(106,737.01)
(107,737.01)
(108,737.01)
(109,765.35)
(110,765.35)
(111,765.35)
(112,765.35)
(113,765.35)
(114,765.35)
(115,765.35)
(116,765.35)
(117,765.35)
(118,765.35)
(119,765.35)
(120,793.70)
(121,793.70)
(122,793.70)
(123,765.35)
(124,765.35)
(125,765.35)
(126,765.35)
(127,765.35)
(128,765.35)
(129,765.35)
(130,765.35)
(131,765.35)
(132,765.35)
(133,765.35)
(134,765.35)
(135,765.35)
(136,765.35)
(137,765.35)
(138,793.70)
(139,765.35)
(140,765.35)
(141,765.35)
(142,765.35)
(143,765.35)
(144,765.35)
(145,765.35)
(146,765.35)
(147,765.35)
(148,765.35)
(149,765.35)
(150,793.70)
